2026-01-10 19:43:12.312 +01:00 [WRN] Failed to determine the https port for redirect.
2026-01-10 19:43:13.074 +01:00 [INF] HTTP GET /api/devices responded 200 in 778.5456 ms
2026-01-10 19:43:13.096 +01:00 [INF] HTTP GET /api/devices responded 200 in 20.8362 ms
2026-01-10 19:43:14.876 +01:00 [INF] HTTP GET /api/devices responded 200 in 52.3757 ms
2026-01-10 19:43:14.878 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.5234 ms
2026-01-10 19:43:23.977 +01:00 [INF] HTTP GET /api/devices responded 200 in 2.5971 ms
2026-01-10 19:43:23.980 +01:00 [INF] HTTP GET /api/devices responded 200 in 2.2202 ms
2026-01-10 19:43:25.330 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.6868 ms
2026-01-10 19:43:25.332 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.6003 ms
2026-01-10 19:43:25.956 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.9446 ms
2026-01-10 19:43:25.960 +01:00 [INF] HTTP GET /api/devices responded 200 in 2.3699 ms
2026-01-10 19:43:28.311 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.4993 ms
2026-01-10 19:43:28.314 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.5949 ms
2026-01-10 19:43:30.070 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.7180 ms
2026-01-10 19:43:30.072 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.4969 ms
2026-01-10 19:43:30.267 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.4278 ms
2026-01-10 19:43:30.269 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.1836 ms
2026-01-10 19:43:30.470 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.8055 ms
2026-01-10 19:43:30.472 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.3477 ms
2026-01-10 19:43:30.655 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.2983 ms
2026-01-10 19:43:30.658 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.7360 ms
2026-01-10 19:43:30.834 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.2694 ms
2026-01-10 19:43:30.837 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.4421 ms
2026-01-10 19:43:31.017 +01:00 [INF] HTTP GET /api/devices responded 200 in 1.3094 ms
2026-01-10 19:43:31.018 +01:00 [INF] HTTP GET /api/devices responded 200 in 0.9746 ms
